,horsepower,engine,energie,boite_de_vitesse,porte,couleur,premiere_main,departement,age,Finition
133,90.0,0.9,Essence,meca,5.0,gris,non,84,1087,Limited
134,75.0,1.5,Diesel,meca,5.0,blanc,oui,91,1324,Business
135,90.0,0.9,Essence,meca,5.0,gris,non,77,584,Business
136,90.0,0.9,Essence,meca,5.0,gris,oui,93,506,Business
137,90.0,0.9,Essence,meca,5.0,noir,oui,21,1462,Intens
138,90.0,0.9,Essence,meca,5.0,blanc,non,28,932,Intens
139,120.0,1.2,Essence,auto,5.0,gris,non,31,693,autre
140,90.0,1.5,Diesel,meca,5.0,blanc,non,60,1797,Societe
141,90.0,0.9,Essence,meca,5.0,gris,oui,18,644,Limited
142,130.0,1.3,Essence,auto,5.0,bleu,non,77,165,Intens
143,90.0,1.6,Essence,meca,5.0,gris,non,51,7578,autre
144,75.0,1.5,Diesel,meca,5.0,blanc,oui,35,2617,Business
145,90.0,1.2,Essence,meca,5.0,rouge,non,91,7568,autre
146,75.0,1.2,Essence,meca,5.0,bleu,non,44,5156,autre
147,70.0,1.5,Diesel,meca,5.0,gris,non,92,5182,autre
148,90.0,1.5,Diesel,meca,5.0,gris,non,77,1128,Intens
149,90.0,1.5,Diesel,meca,5.0,blanc,non,7,745,Business
150,90.0,0.9,Essence,meca,5.0,gris,non,54,674,Intens
151,90.0,0.9,Essence,meca,5.0,rouge,oui,33,484,Intens
152,90.0,0.9,Essence,meca,5.0,platine,non,16,860,Limited
153,90.0,0.9,Essence,meca,5.0,rouge,non,77,273,Intens
154,75.0,0.9,Essence,meca,5.0,platine,non,77,14,autre
155,90.0,0.9,Essence,meca,5.0,gris,oui,6,521,Business
156,90.0,1.5,Diesel,meca,5.0,gris,non,67,319,Business
157,90.0,0.9,Essence,meca,5.0,titane,oui,65,942,Limited
158,90.0,1.5,Diesel,meca,5.0,platine,oui,71,821,Intens
159,75.0,1.5,Diesel,meca,5.0,autre,non,40,857,Business
160,90.0,1.2,Essence,meca,5.0,bleu,non,95,5387,autre
161,90.0,0.9,Essence,meca,5.0,gris,oui,65,1001,Zen
162,75.0,1.2,Essence,meca,5.0,blanc,non,77,1101,Zen
163,120.0,1.2,Essence,auto,5.0,gris,oui,49,1173,Intens
164,75.0,1.5,Diesel,meca,5.0,blanc,oui,59,955,Business
165,90.0,0.9,Essence,meca,5.0,noir,oui,37,40,autre
166,75.0,1.5,Diesel,meca,5.0,bleu,non,94,518,Zen
167,75.0,1.2,Essence,meca,5.0,gris,oui,56,919,autre
168,75.0,1.2,Essence,meca,5.0,blanc,non,86,954,autre
169,75.0,1.5,Diesel,meca,5.0,blanc,oui,45,511,autre
170,16.0,1.4,Essence,auto,5.0,gris,non,75,6750,Expression
171,100.0,1.2,Essence,meca,5.0,gris,non,34,4121,autre
172,75.0,0.9,Essence,meca,5.0,gris,non,62,503,Business
173,85.0,1.5,Diesel,auto,5.0,gris,non,93,3433,autre
174,75.0,0.9,Essence,meca,5.0,blanc,non,85,574,autre
175,75.0,1.5,Diesel,meca,5.0,blanc,oui,72,555,Business
176,75.0,1.5,Diesel,meca,5.0,blanc,oui,91,1456,Zen
177,90.0,0.9,Essence,meca,5.0,blanc,oui,21,592,Intens
178,90.0,0.9,Essence,meca,5.0,blanc,non,38,893,Zen
179,85.0,1.5,Diesel,meca,5.0,gris,non,35,4044,autre
180,70.0,1.5,Diesel,meca,5.0,rouge,oui,77,5263,autre
181,90.0,0.9,Essence,meca,5.0,gris,non,44,876,Business
182,90.0,0.9,Essence,meca,5.0,gris,oui,59,894,Intens
183,75.0,1.5,Diesel,meca,5.0,gris,non,92,886,Business
184,90.0,1.5,Diesel,meca,5.0,gris,non,18,678,Business
185,90.0,1.2,Essence,meca,5.0,gris,non,93,7331,autre
186,75.0,1.5,Diesel,meca,5.0,autre,non,6,2936,Expression
187,90.0,1.5,Diesel,meca,5.0,blanc,oui,54,949,Societe
188,90.0,0.9,Essence,meca,5.0,gris,non,78,2959,Expression
189,90.0,0.9,Essence,meca,5.0,platine,non,66,402,Intens
190,90.0,0.9,Essence,meca,5.0,noir,non,54,505,Intens
191,75.0,1.5,Diesel,meca,5.0,blanc,oui,85,1547,Business
192,100.0,1.0,Essence,meca,5.0,noir,non,77,161,Intens
193,16.0,1.4,Essence,meca,5.0,gris,non,95,6917,autre
194,80.0,1.5,Diesel,meca,5.0,gris,non,83,5458,autre
195,90.0,0.9,Essence,meca,5.0,noir,non,85,628,Limited
196,70.0,1.5,Diesel,meca,5.0,blanc,non,82,3483,Business
197,110.0,1.6,Essence,auto,5.0,gris,non,76,3304,Intens
198,70.0,1.5,Diesel,meca,5.0,bleu,non,85,4109,autre
199,75.0,0.9,Essence,meca,5.0,gris,non,37,529,Business
200,90.0,0.9,Essence,meca,5.0,gris,non,26,379,Business
201,90.0,0.9,Essence,meca,5.0,rouge,non,33,373,Intens
202,90.0,0.9,Essence,meca,5.0,gris,non,88,701,Zen
203,90.0,0.9,Essence,meca,5.0,gris,oui,95,1111,Intens
204,90.0,0.9,Essence,meca,5.0,platine,non,21,944,Limited
205,90.0,0.9,Essence,meca,5.0,noir,oui,75,1430,Zen
206,90.0,0.9,Essence,meca,5.0,gris,non,59,1002,Limited
207,90.0,0.9,Essence,meca,5.0,gris,non,78,1030,Intens
208,90.0,0.9,Essence,meca,5.0,rouge,oui,78,686,Intens
209,105.0,1.5,Diesel,meca,5.0,autre,non,77,3324,autre
210,75.0,1.5,Diesel,meca,3.0,blanc,non,95,3515,Societe
211,90.0,0.9,Essence,meca,5.0,gris,non,73,386,Business
212,90.0,0.9,Essence,meca,5.0,gris,oui,86,887,Business
213,120.0,1.2,Essence,meca,5.0,bleu,non,77,1303,Intens
214,90.0,0.9,Essence,meca,5.0,blanc,oui,49,674,Business
215,90.0,0.9,Essence,meca,5.0,gris,non,59,475,Business
216,90.0,0.9,Essence,meca,5.0,gris,oui,63,618,Limited
217,75.0,1.2,Essence,meca,5.0,blanc,oui,62,1484,autre
218,75.0,1.5,Diesel,meca,5.0,blanc,oui,76,557,Business
219,90.0,0.9,Essence,meca,5.0,noir,oui,77,522,Limited
220,65.0,1.5,Diesel,meca,3.0,blanc,non,11,5878,Expression
221,120.0,1.2,Essence,meca,5.0,gris,non,84,818,Intens
222,70.0,1.5,Diesel,meca,5.0,noir,non,35,4625,autre
223,75.0,0.9,Essence,meca,5.0,blanc,non,40,351,autre
224,75.0,1.2,Essence,meca,5.0,autre,oui,77,3261,autre
225,90.0,0.9,Essence,meca,5.0,blanc,non,10,617,Intens
226,90.0,1.5,Diesel,auto,5.0,titane,non,83,563,Intens
227,90.0,0.9,Essence,meca,5.0,gris,oui,88,1960,Intens
228,90.0,1.5,Diesel,meca,5.0,autre,non,86,3541,Expression
229,70.0,1.5,Diesel,meca,3.0,gris,non,54,4315,autre
230,75.0,1.2,Essence,meca,5.0,gris,non,79,1349,autre
231,75.0,1.2,Essence,meca,5.0,blanc,oui,91,2174,Zen
232,75.0,1.2,Essence,meca,5.0,gris,oui,69,786,Limited
233,65.0,1.9,Diesel,meca,5.0,bleu,non,34,7173,autre
234,75.0,1.2,Essence,meca,5.0,gris,oui,94,3940,Expression
235,75.0,1.2,Essence,meca,5.0,gris,non,49,3320,Intens
236,105.0,1.5,Diesel,meca,5.0,gris,oui,77,2905,Intens
237,16.0,1.6,Essence,meca,5.0,noir,non,37,5215,Expression
238,90.0,0.9,Essence,meca,5.0,gris,non,77,958,Intens
239,90.0,0.9,Essence,meca,5.0,gris,non,95,397,Business
240,130.0,1.3,Essence,auto,5.0,bleu,non,31,355,RS
241,90.0,1.5,Diesel,meca,5.0,titane,non,57,486,Business
242,85.0,1.5,Diesel,meca,5.0,gris,non,81,71,Business
243,60.0,1.2,Essence,meca,5.0,gris,oui,77,4251,autre
244,75.0,1.5,Diesel,meca,5.0,rouge,non,54,2843,autre
245,90.0,0.9,Essence,meca,5.0,noir,non,84,496,Intens
246,90.0,0.9,Essence,meca,5.0,gris,non,28,427,Intens
247,90.0,0.9,Essence,meca,5.0,gris,non,41,840,Intens
248,90.0,0.9,Essence,meca,5.0,gris,non,84,485,Intens
249,90.0,0.9,Essence,meca,5.0,gris,oui,6,988,Limited
250,90.0,0.9,Essence,meca,5.0,gris,oui,76,453,Limited
251,90.0,0.9,Essence,meca,5.0,autre,non,67,504,Limited
252,90.0,0.9,Essence,meca,5.0,noir,oui,72,40,autre
253,90.0,0.9,Essence,meca,5.0,gris,non,41,2631,Intens
254,90.0,0.9,Essence,meca,5.0,gris,oui,94,1569,Intens
255,90.0,0.9,Essence,meca,5.0,gris,oui,33,494,autre
